Sample_text,Category,Final Label,Reasoning
আমরা সাকিব ভাইর পাশে আছি৷ এবং পাপনকে জুতার বারি দেও,Gender,Violence,"মন্তব্যে শারীরিক হিংসার ইঙ্গিত দিয়ে সহিংসতা উৎসাহিত করা হয়েছে।
ব্যক্তি বিশেষের প্রতি আক্রমণাত্মক মনোভাব প্রকাশ করা হয়েছে।
জুতা মারার উল্লেখ সহিংসতার স্পষ্ট আহ্বান হওয়ায় এটি সহিংস বিবেচিত।"
আমার বৌ আমাকে দিনে একবার চোদা দেয়,Gender,Sexual Harassments,"মন্তব্যটি যৌন ইঙ্গিতপূর্ণ এবং ব্যক্তিগত বিষয়কে অশোভনভাবে প্রকাশ করেছে।
নারীর প্রতি অবমাননাকর ভাষা ব্যবহার করায় এটি যৌন হয়রানির অন্তর্ভুক্ত।
মন্তব্যে গোপনীয়তার অভাব এবং অশালীন ইঙ্গিত থাকায় এটি আপত্তিকর।"
আল্লাহ এই ছেলের উপর গজব নাজিল করে,Gender,Offensive,"মন্তব্যে অভিশাপ দিয়ে নেতিবাচক মনোভাব প্রকাশ করা হয়েছে।
ব্যক্তি বিশেষের প্রতি অসম্মানসূচক এবং আক্রমণাত্মক বক্তব্য ব্যবহার করা হয়েছে।
ধর্মীয় অনুভূতিকে ব্যবহার করে ব্যক্তিগত অপমান করায় এটি আপত্তিকর।"
আল্লাহ ভিডিওটা দেখার সাহস পাইনিআল্লাহ তুমি এই ছেলের উচিত বিচার করোএক গজবে তুমি দেখিয়ে দাও পিতা মাতার প্রতি কোন কাফরের যেনো খারাপ আচরনের সাহস না পায়,Gender,Offensive,"মন্তব্যে ধর্মীয় অনুভূতিকে ব্যবহার করে শাস্তির আহ্বান জানানো হয়েছে।
ব্যক্তি বিশেষের প্রতি আক্রমণাত্মক ও হুমকিমূলক ভাষা ব্যবহার করা হয়েছে।
অভিশাপ ও কঠোর শাস্তির ইঙ্গিত করায় এটি অসম্মানজনক।"
আল্লাহর লানত মিতিলার উপর,Gender,Offensive,"মন্তব্যটি ধর্মীয় অনুভূতিকে ব্যবহার করে ব্যক্তিকে অপমান করেছে।
মিতিলার প্রতি অবমাননাকর এবং হুমকিমূলক বক্তব্য প্রকাশ করা হয়েছে।
ধর্মীয় লানতের মাধ্যমে ব্যক্তিগত আক্রমণ করায় এটি আপত্তিকর।"
ইন্ডিয়া থেকে বলছি পাপন কে গুলি করে মারুন।শাকিব খুব ভাল প্লেয়ার।,Gender,Offensive,"মন্তব্যে সরাসরি শারীরিক সহিংসতার আহ্বান জানানো হয়েছে।
ব্যক্তিকে গুলি করার কথা বলায় এটি স্পষ্টতই আক্রমণাত্মক।
সহিংস ও হুমকিসূচক ইঙ্গিত থাকায় এটি গুরুতরভাবে আপত্তিকর।"
মেয়েরা কেন সবসময় এই ব্যাপারে নাক গলায়? ওরা সব সময় সমস্যা তৈরি করে,Gender,Offensive,"মন্তব্যটি নারীদের প্রতি লিঙ্গবৈষম্যমূলক সাধারণীকরণ করেছে।
নারীদের সমস্যা সৃষ্টিকারী বলে অপমানজনকভাবে উপস্থাপন করা হয়েছে।
লিঙ্গ ভিত্তিক নেতিবাচক মনোভাব প্রকাশ করায় এটি অসম্মানজনক।"
মেয়েদের এই সমাজে থাকার কোনো অধিকার নেই; ওরা এখানে মানানসই না,Gender,Offensive,"মন্তব্যটি নারীদের সামাজিক অধিকার অস্বীকার করে বৈষম্যকে উসকে দিয়েছে।
নারীদের প্রতি অবমাননাকর এবং অসম্মানজনক মনোভাব প্রকাশ পেয়েছে।
লিঙ্গভিত্তিক বৈষম্য ও বিদ্বেষপূর্ণ বক্তব্য হওয়ায় এটি আপত্তিকর।"
"মেয়েরা সবসময় ভাবে ওরা সবার থেকে ভালো, কিন্তু আসলে ওদের কোনো অবদান নেই",Gender,Offensive,"মন্তব্যে নারীদের ভূমিকা অস্বীকার করে নেতিবাচকভাবে উপস্থাপন করা হয়েছে।
নারীদের প্রতি অবমাননাকর এবং লিঙ্গ বৈষম্যমূলক সাধারণীকরণ করা হয়েছে।
অমূলক এবং হেয়প্রসূত বক্তব্য হওয়ায় এটি আপত্তিকর।"
এটা সত্যি যে মেয়েরা  সবকিছু নষ্ট করে দিচ্ছে,Gender,Offensive,"মন্তব্যে নারীদের প্রতি অযৌক্তিক ও নেতিবাচক সাধারণীকরণ করা হয়েছে।
নারীদের দোষারোপ করে অবমাননাকর মনোভাব প্রকাশ করা হয়েছে।
লিঙ্গভিত্তিক বৈষম্য ও অপমানজনক বক্তব্য হওয়ায় এটি আপত্তিকর।"
"সত্যি বলতে কি, আমাদের মেয়েদের ছাড়া আরও ভালো হতো",Gender,Offensive,"মন্তব্যটি নারীদের অস্তিত্বকে অমূলকভাবে অবমূল্যায়ন করেছে।
নারীদের প্রতি অবমাননাকর মনোভাব ও নেতিবাচক ইঙ্গিত প্রকাশ পেয়েছে।
লিঙ্গভিত্তিক বৈষম্য ও হেয়প্রসূত বক্তব্য হওয়ায় এটি আপত্তিকর।"
ওর মত ছেলেকে কুওা দিয়া চোদানো দরকার,Gender,Sexual Harassments,"মন্তব্যটি অত্যন্ত অশালীন ও যৌন হয়রানিমূলক ভাষা ব্যবহার করেছে।
ব্যক্তিকে হেয় এবং অবমাননা করার উদ্দেশ্যে যৌন ইঙ্গিত দেওয়া হয়েছে।
অপমানজনক ও অশালীন ইঙ্গিত থাকার কারণে এটি যৌন হয়রানি হিসেবে বিবেচিত।"
ওর মত পুলারে মেরে ফেলা দরকার,Gender,Offensive,"মন্তব্যটি সহিংসতার আহ্বান জানিয়ে আক্রমণাত্মক মনোভাব প্রকাশ করেছে।
ব্যক্তির প্রতি সরাসরি হুমকি ও অবমাননাকর বক্তব্য ব্যবহার করা হয়েছে।
শারীরিক ক্ষতির ইঙ্গিত থাকার কারণে এটি আপত্তিকর বিবেচিত।"
ওর মতো ছেলেকে গরম তেল গা য়ে ঢেলে মারতে হবে তিল তিল করে,Gender,Offensive,"মন্তব্যটি চরম সহিংসতার স্পষ্ট ইঙ্গিত দিয়েছে, যা অত্যন্ত আপত্তিকর।
ব্যক্তিকে শারীরিক নির্যাতনের মাধ্যমে আঘাত করার হুমকি দেওয়া হয়েছে।
অমানবিক ও হিংসাত্মক চিন্তার প্রকাশ থাকায় এটি গুরুতরভাবে আপত্তিকর।"
ওর সোনা কেটে ওর হাতে দেয়া হোক,Gender,Offensive,"মন্তব্যটি চরম শারীরিক নির্যাতনের ইঙ্গিত দিয়ে হিংসা উস্কে দিয়েছে।
অত্যন্ত অশালীন এবং ব্যক্তিগতভাবে অবমাননাকর বক্তব্য প্রকাশ করা হয়েছে।
শারীরিক সহিংসতার স্পষ্ট আহ্বান থাকায় এটি গুরুতরভাবে আপত্তিকর।"
ওরাকম ছেলের মেরে ফেলা উচিত,Gender,Offensive,"মন্তব্যটি সরাসরি সহিংসতার আহ্বান জানিয়েছে, যা অত্যন্ত আপত্তিকর।
ব্যক্তির প্রতি হুমকিমূলক এবং অবমাননাকর মনোভাব প্রকাশ করা হয়েছে।
শারীরিক ক্ষতির ইঙ্গিত থাকায় এটি আক্রমণাত্মক ও অসম্মানজনক।"
ওরে আমার কাছে একটু পাঠিয়ে দেয়। এই বয়সে ওকে ওয়াজ করতে দেয় কেন? ওর খতনা হইছে তো?,Gender,Offensive,"মন্তব্যটি অশালীন এবং ব্যক্তিগত বিষয় নিয়ে অবমাননাকর ইঙ্গিত দিয়েছে।
বক্তব্যে যৌন ইঙ্গিতপূর্ণ প্রশ্নের মাধ্যমে হেয় প্রতিপন্ন করার প্রচেষ্টা রয়েছে।
অপমানজনক এবং অবমাননাকর বক্তব্য হওয়ায় এটি আপত্তিকর।"
ওরে নেন্টা করে চুদে দিলেও ওটা এর কাচে নরমাল হবে কারন ব্যাসসার ঘর থেকে ব্যাসসা ই জন্ম নেয়,Gender,Offensive,"মন্তব্যটি অশালীন ও অত্যন্ত যৌন ইঙ্গিতপূর্ণ ভাষা ব্যবহার করেছে।
ব্যক্তিকে অবমাননা করার উদ্দেশ্যে অপমানজনক এবং অশোভন বক্তব্য প্রকাশ করা হয়েছে।
অশ্লীল ও হেয়প্রসূত ইঙ্গিত থাকায় এটি গুরুতরভাবে আপত্তিকর।"
ওরে প্যান্ট খুলে সোনায় লাত্থাইয়া বীচি ফাটাইয়া ফালাতে ইচ্ছা করছে,Gender,Offensive,"মন্তব্যে সরাসরি শারীরিক সহিংসতার ইঙ্গিত দেওয়া হয়েছে, যা অত্যন্ত আপত্তিকর।
অশালীন ও অবমাননাকর ভাষা ব্যবহার করে হিংসাত্মক মনোভাব প্রকাশ করা হয়েছে।
শারীরিক আঘাত ও অশালীন ইঙ্গিতের কারণে এটি গুরুতরভাবে আপত্তিকর বিবেচিত।"
কচি মেয়ে খাওয়ার অভ্যাসটা কাওউয়া কাদেরের আর গেলো না।,Gender,Offensive,"মন্তব্যে নারীকে অবমাননাকর ও অশালীনভাবে উপস্থাপন করা হয়েছে।
যৌন ইঙ্গিতপূর্ণ এবং অপমানজনক ভাষা ব্যবহার করা হয়েছে।
নারীদের প্রতি অবজ্ঞাসূচক ও অসম্মানজনক মনোভাব প্রকাশ করায় এটি আপত্তিকর।"
কত বেডার সোদা কাইছে হিতি নিজে ও জানে না,Gender,Offensive,"মন্তব্যটি নারীর প্রতি অবমাননাকর এবং অসম্মানজনক ভাষা ব্যবহার করেছে।
অশালীন ও অবজ্ঞাসূচক ইঙ্গিত থাকার কারণে এটি আপত্তিকর।
নারীদের হেয়প্রসূত এবং অপমানমূলক মনোভাব প্রকাশ করায় এটি অত্যন্ত আপত্তিকর।"
কম হলে জন চুদিছে আখিকে,Gender,Offensive,"মন্তব্যটি অত্যন্ত অশালীন এবং নারীর প্রতি অপমানজনক বক্তব্য ব্যবহার করেছে।
ব্যক্তিগত সম্মানহানির উদ্দেশ্যে স্পষ্টভাবে যৌন ইঙ্গিত দেওয়া হয়েছে।
অশ্লীল ও অবমাননাকর হওয়ায় এটি গুরুতরভাবে আপত্তিকর বিবেচিত।"
কয় টাকা লাগবে খেলতে তার ভোদায়,Gender,Offensive,"মন্তব্যটি অত্যন্ত অশালীন এবং নারীর প্রতি অবমাননাকর ভাষা ব্যবহার করেছে।
নারীর প্রতি যৌন ইঙ্গিতপূর্ণ এবং অসম্মানজনক মনোভাব প্রকাশ করা হয়েছে।
অশালীনতা ও হেয় প্রতিপন্ন করার স্পষ্ট ইঙ্গিত থাকায় এটি আপত্তিকর।"
কাকা আপনার চোদা কেউ গাভিন হচ্ছে না কেন,Gender,Sexual Harassments,"মন্তব্যটি অত্যন্ত অশ্লীল এবং যৌন হয়রানিমূলক ভাষা ব্যবহার করেছে।
ব্যক্তির প্রতি সরাসরি অবমাননাকর ও যৌন ইঙ্গিতপূর্ণ বক্তব্য প্রকাশ করা হয়েছে।
অশালীন ও অসম্মানজনক ইঙ্গিত থাকার কারণে এটি গুরুতরভাবে আপত্তিকর।"
কাকু তুমারে পাইলে তুমার মুখে সিষার ডালাই দিতাম,Gender,Offensive,"মন্তব্যটি সরাসরি শারীরিক হিংসার ইঙ্গিত দিয়েছে, যা অত্যন্ত আপত্তিকর।
ব্যক্তির প্রতি হুমকিসূচক এবং অবমাননাকর মনোভাব প্রকাশ করা হয়েছে।
সহিংসতা ও হুমকির কারণে এটি গুরুতরভাবে আপত্তিকর বিবেচিত।"
কাদিরের মা কে চুদি। এ সব টাকা গুলো জনগনের টাকা। মানুষের টাকা চুরি করে এসকরছে।।,Gender,Offensive,"মন্তব্যটি অত্যন্ত অশালীন এবং ব্যক্তিগতভাবে অপমানজনক ভাষা ব্যবহার করেছে।
নারীর প্রতি অবমাননাকর ও যৌন ইঙ্গিতপূর্ণ বক্তব্য প্রকাশ করা হয়েছে।
অশালীন শব্দ এবং ব্যক্তিগত আক্রমণ হওয়ায় এটি গুরুতরভাবে আপত্তিকর।"
কাদেরের মারে চোদি,Gender,Offensive,"মন্তব্যটি অত্যন্ত অশালীন এবং নারীর প্রতি অবমাননাকর বক্তব্য ব্যবহার করেছে।
ব্যক্তিগত সম্মানহানি এবং যৌন ইঙ্গিতপূর্ণ শব্দ ব্যবহারের মাধ্যমে এটি হেয়প্রসূত।
অশালীন ও অপমানজনক হওয়ায় এটি গুরুতরভাবে আপত্তিকর।"
কামরুল রিফাতের মায়েরে আজকে চোদিছি,Gender,Offensive,"মন্তব্যটি অত্যন্ত অশালীন এবং নারীর প্রতি সরাসরি অবমাননাকর ভাষা ব্যবহার করেছে।
ব্যক্তিগত সম্মানহানির উদ্দেশ্যে যৌন ইঙ্গিতপূর্ণ এবং অসম্মানজনক বক্তব্য প্রদান করা হয়েছে।
অশালীনতা এবং অপমানজনক মনোভাব প্রকাশ করায় এটি গুরুতরভাবে আপত্তিকর।"
কি বলবো তবে একদিন ওর ছেলে ওরে মারবে,Gender,Offensive,"মন্তব্যটি সহিংসতার ভবিষ্যদ্বাণী করে নেতিবাচক মনোভাব প্রকাশ করেছে।
অপমানজনক এবং ব্যক্তির প্রতি অবজ্ঞাসূচক বক্তব্য ব্যবহার করা হয়েছে।
সহিংসতার ইঙ্গিত থাকার কারণে এটি আপত্তিকর বিবেচিত।"
কি হিংসে হয় আমার মত হতে চাও আমি তর মা কে চুদি,Gender,Offensive,"মন্তব্যটি অত্যন্ত অশালীন এবং সরাসরি নারীর প্রতি অবমাননাকর ইঙ্গিত দিয়েছে।
ব্যক্তিগতভাবে অপমান করার জন্য অশ্লীল ভাষা ব্যবহার করা হয়েছে।
যৌন হয়রানিমূলক ও অসম্মানজনক বক্তব্য হওয়ায় এটি গুরুতরভাবে আপত্তিকর।"
কু পুত্র ওকে ফাঁসি নয় ওকে তিলে তিলে অসয্য যন্ত্রনা দিয়ে মারা হক,Gender,Offensive,"মন্তব্যটি অত্যন্ত সহিংস এবং শারীরিক নির্যাতনের আহ্বান জানিয়েছে।
বক্তব্যে অমানবিক শাস্তির ইঙ্গিত দিয়ে হিংসাত্মক মনোভাব প্রকাশ করা হয়েছে।
অবমাননাকর এবং শারীরিক সহিংসতার উস্কানির কারণে এটি গুরুতরভাবে আপত্তিকর।
"
কুতা দিয়া চুদা মিথিলাকে,Gender,Offensive,"মন্তব্যটি অত্যন্ত অশালীন এবং নারীর প্রতি যৌন হয়রানিমূলক বক্তব্য প্রকাশ করেছে।
বক্তব্যটি অবমাননাকর ও অসম্মানজনক ভাষা ব্যবহার করে নারীর প্রতি বিদ্বেষ দেখিয়েছে।
অশ্লীল এবং অপমানজনক হওয়ায় এটি গুরুতরভাবে আপত্তিকর বিবেচিত।"
কে কে পপনকে চুদবেন হাত তুলেন,Gender,Offensive,"মন্তব্যটি অত্যন্ত অশালীন এবং যৌন হয়রানিমূলক ভাষা ব্যবহার করেছে।
ব্যক্তির প্রতি সরাসরি অবমাননাকর এবং অসম্মানজনক বক্তব্য প্রকাশ পেয়েছে।
অশ্লীল এবং হেয়প্রসূত মনোভাবের কারণে এটি গুরুতরভাবে আপত্তিকর।"
কেমন ছেলে বাবার গায়ে হাত তুলে আমি হলে ছেলেটাকে মারতাম,Gender,Offensive,"মন্তব্যটি সহিংসতার প্রকাশ করেছে এবং শারীরিক আঘাতের আহ্বান জানিয়েছে।
বক্তব্যে হুমকিসূচক ভাষার মাধ্যমে নেতিবাচক মনোভাব দেখানো হয়েছে।
শারীরিক আঘাতের ইঙ্গিত থাকার কারণে এটি আপত্তিকর।"
মন্তব্যটি সহিংসতার প্রকাশ করেছে এবং শারীরিক আঘাতের আহ্বান জানিয়েছে।,Gender,Offensive,"মন্তব্যটি সরাসরি হিংসাত্মক আচরণকে সমর্থন করে, যা আপত্তিকর।
শারীরিক শাস্তির উস্কানি দেওয়া হয়েছে, যা নেতিবাচক মনোভাব প্রকাশ করে।
সহিংসতার ইঙ্গিত থাকার কারণে এটি সামাজিক ও নৈতিক দৃষ্টিকোণে অগ্রহণযোগ্য।"
বক্তব্যে হুমকিসূচক ভাষার মাধ্যমে নেতিবাচক মনোভাব দেখানো হয়েছে।,Gender,Offensive,"মন্তব্যটি হুমকিসূচক ভাষার মাধ্যমে অবমাননাকর মনোভাব প্রকাশ করেছে।
নেতিবাচক মনোভাব ও হিংসাত্মক ইঙ্গিত থাকার কারণে এটি আপত্তিকর।
বক্তব্যটি ব্যক্তি বা গোষ্ঠীর প্রতি অবজ্ঞা প্রদর্শন করায় এটি অনুপযুক্ত।"
শারীরিক আঘাতের ইঙ্গিত থাকার কারণে এটি আপত্তিকর।,Gender,Violence,"মন্তব্যে শারীরিক সহিংসতার ইঙ্গিত দিয়ে হিংস্র মনোভাব প্রকাশ করা হয়েছে।
শারীরিক ক্ষতির ইঙ্গিত থাকায় এটি সামাজিক দৃষ্টিকোণে গ্রহণযোগ্য নয়।
সহিংস আচরণকে উস্কে দেওয়ার চেষ্টা করায় এটি আপত্তিকর।
"
খালাম্মা আপনারা কি একটু চোদা যাইবো বিকিনি কি আর পন তারকা কি বুজাইয়া দিতাম,Gender,Sexual Harassments,"মন্তব্যটি অত্যন্ত অশালীন এবং নারীর প্রতি সরাসরি যৌন হয়রানিমূলক ইঙ্গিত দিয়েছে।
বক্তব্যটি অবমাননাকর ও অসম্মানজনক ভাষা ব্যবহার করে নারীর প্রতি বিদ্বেষ প্রকাশ করেছে।
অশ্লীল ও হেয়প্রসূত বক্তব্য হওয়ায় এটি গুরুতরভাবে আপত্তিকর।"
খুব তাড়াতাড়ি মিথিলার অনেক বড় রোগ হবে আল্লাহর তরপ থেকে।,Gender,Offensive,"মন্তব্যটি ব্যক্তি বিশেষের প্রতি অভিশাপ দিয়ে নেতিবাচক মনোভাব প্রকাশ করেছে।
বক্তব্যে অবমাননাকর এবং বিদ্বেষমূলক ইঙ্গিত রয়েছে।
অন্যের প্রতি রোগ বা দুর্ভোগ কামনা করায় এটি আপত্তিকর।"
গনো ধোলাই দাও ছেলেকে,Gender,Offensive,"মন্তব্যটি সরাসরি সহিংস আচরণের উৎসাহ প্রদান করেছে।
বক্তব্যে শারীরিক আঘাতের ইঙ্গিত স্পষ্ট, যা অত্যন্ত আপত্তিকর।
সহিংসতার আহ্বান জানিয়ে নেতিবাচক মনোভাব প্রকাশ করা হয়েছে।"
ঘৃণা করি ওনার মেয়েকে লাথি মারি ওনার মেয়ে র মুখে,Gender,Offensive,"মন্তব্যটি অত্যন্ত অশালীন এবং সরাসরি শারীরিক সহিংসতার ইঙ্গিত দিয়েছে।
নারীর প্রতি অবমাননাকর এবং অসম্মানজনক মনোভাব প্রকাশ করা হয়েছে।
লিঙ্গভিত্তিক হিংসাত্মক ও অপমানজনক বক্তব্য হওয়ায় এটি গুরুতরভাবে আপত্তিকর।"
চুদা খাওয়া নাইকা,Gender,Offensive,"মন্তব্যটি অত্যন্ত অশালীন এবং নারীর প্রতি সরাসরি অবমাননাকর ইঙ্গিত দিয়েছে।
নারীর সম্মানহানির উদ্দেশ্যে অশোভন এবং যৌন হয়রানিমূলক ভাষা ব্যবহার করা হয়েছে।
অপমানজনক ও অসম্মানজনক মনোভাব প্রকাশ করায় এটি গুরুতরভাবে আপত্তিকর।"
চুদে চুদে ওর গুদের রস সব শুকিয়ে পেলানো উচিত,Gender,Offensive,"মন্তব্যটি অত্যন্ত অশ্লীল এবং সরাসরি যৌন হয়রানিমূলক ভাষা ব্যবহার করেছে।
নারীর প্রতি অবমাননাকর এবং অসম্মানজনক ইঙ্গিত প্রদান করা হয়েছে।
অশালীনতা এবং অপমানজনক বক্তব্য হওয়ায় এটি গুরুতরভাবে আপত্তিকর।"
চুদে চুদে বুনি টিপে ভোদা চেটে চেটে ফাটিয়ে ফেলেছে হায় হায় কয় কি,Gender,Offensive,"মন্তব্যটি অত্যন্ত অশালীন এবং যৌন হয়রানিমূলক ভাষা ব্যবহার করেছে।
নারীর প্রতি অবমাননাকর ও অসম্মানজনক ইঙ্গিত প্রদান করা হয়েছে।
অশালীন এবং অপমানজনক বক্তব্য হওয়ায় এটি গুরুতরভাবে আপত্তিকর।"
চৈতালি চুদে দিয়ে হাত তালি,Gender,Offensive,"মন্তব্যটি অত্যন্ত অশালীন এবং নারীর প্রতি অবমাননাকর ইঙ্গিত দিয়েছে।
নারীর সম্মানহানির উদ্দেশ্যে যৌন হয়রানিমূলক ভাষা ব্যবহার করা হয়েছে।
অশোভন এবং অপমানজনক মনোভাব প্রকাশ করায় এটি গুরুতরভাবে আপত্তিকর।"
চৈতালি রায় কে চুদার দরকার,Gender,Offensive,"মন্তব্যটি সরাসরি অশালীন এবং নারীর প্রতি অবমাননাকর ইঙ্গিত প্রকাশ করেছে।
নারীর সম্মানহানি এবং যৌন হয়রানিমূলক বক্তব্য হওয়ায় এটি অত্যন্ত আপত্তিকর।
অপমানজনক ও অসম্মানজনক মনোভাব প্রদর্শন করায় এটি গুরুতরভাবে অগ্রহণযোগ্য।"
চোদা যাবে রেশমি,Gender,Sexual Harassments,"মন্তব্যটি অত্যন্ত অশালীন এবং নারীর প্রতি সরাসরি যৌন হয়রানিমূলক।
নারীর প্রতি অসম্মানজনক এবং অবমাননাকর মনোভাব প্রকাশ পেয়েছে।
অশোভন ভাষা ব্যবহারের মাধ্যমে এটি গুরুতরভাবে আপত্তিকর হয়েছে।"
চ্যানেল এডমিন তোর মা কে কাও চোদে,Gender,Offensive,"মন্তব্যটি অত্যন্ত অশালীন এবং ব্যক্তিগতভাবে অপমানজনক ভাষা ব্যবহার করেছে।
নারীর প্রতি অবমাননাকর এবং অসম্মানজনক ইঙ্গিত প্রদান করা হয়েছে।
অশালীনতা এবং অপমানমূলক বক্তব্য হওয়ায় এটি গুরুতরভাবে আপত্তিকর।"
ছেলে টাকে জুতো পিটা করা দরকার,Gender,Offensive,"মন্তব্যটি সরাসরি শারীরিক সহিংসতার আহ্বান জানিয়েছে, যা আপত্তিকর।
বক্তব্যে অপমানসূচক এবং হুমকিসূচক ভাষার মাধ্যমে নেতিবাচক মনোভাব প্রকাশ করা হয়েছে।
সহিংস আচরণের উস্কানি দেওয়ায় এটি সামাজিকভাবে অগ্রহণযোগ্য।"
ছেলে টিকে দইরা মাইরা ফালানো উচিত,Gender,Offensive,"মন্তব্যটি সরাসরি হত্যার আহ্বান জানিয়েছে, যা অত্যন্ত আপত্তিকর।
বক্তব্যটি চরম সহিংসতা এবং অবমাননাকর মনোভাব প্রকাশ করেছে।
সহিংসতার ইঙ্গিত ও উস্কানির কারণে এটি গুরুতরভাবে অগ্রহণযোগ্য।"
ছেলেকে জুতো দিয়ে মার দরকার,Gender,Offensive,"মন্তব্যটি শারীরিক সহিংসতার আহ্বান জানিয়ে নেতিবাচক মনোভাব প্রকাশ করেছে।
বক্তব্যটি অপমানসূচক এবং আক্রমণাত্মক ভাষা ব্যবহার করেছে।
সহিংসতার উস্কানি দেওয়ায় এটি সামাজিকভাবে অগ্রহণযোগ্য।"
ছেলেকে পাইলে আমি ওরে মেরে ফেলবো ওকে মেরে কুত্তা দিয়া খাওয়ানো দরকার,Gender,Offensive,"মন্তব্যটি সরাসরি সহিংসতা এবং হত্যার আহ্বান জানিয়েছে, যা অত্যন্ত আপত্তিকর।
বক্তব্যটি চরম অমানবিক এবং হিংস্র মনোভাব প্রকাশ করেছে।
সহিংসতা ও নিষ্ঠুরতার ইঙ্গিত থাকার কারণে এটি গুরুতরভাবে অগ্রহণযোগ্য।"
