Sample_text,Category,Final Label,Female_biased,Not Female_biased
??? ?????? ??? ???? ????? ??? ?? ???? ????? ??? ???? ???????? ?? ???? ??????? ? ???? ???,Gender,Offensive,Offensive,Offensive
??? ??????? ???? ?????? ?????????? ???? ???????? ?????? ????? ????,Gender,Offensive,Sexual Harassments,Offensive
??? ???? ?????? ???????? ?????? ??????? ?? ???? ???,Gender,Offensive,Offensive,Offensive
?? ????? ???? ????? ???? ???? ? ???? ??,Gender,Offensive,Not Hateful,Not Hateful
?? ??? ?? ?????? ?????,Gender,Offensive,Offensive,Offensive
?? ???? ????? ????? ??? ?????,Gender,Offensive,Offensive,Offensive
???? ????? ???? ??? ????? ????? ?? ???,Gender,Sexual Harassments,Offensive,Offensive
???? ?????? ????? ????? ???? ????? ????? ?????,Gender,Offensive,Not Hateful,Not Hateful
??????? ?? ?? ????? ? ?? ???? ???? ?????? ????? ??????? ???? ???? ??? ????????,Gender,Offensive,Offensive,Offensive
??????? ???? ????,Gender,Offensive,Offensive,Offensive
?????? ??????? ?????? ???? ??????,Gender,Offensive,Offensive,Offensive
?? ???? ??? ????? ?? ???? ??? ?????,Gender,Offensive,Violence,Violence
?? ????? ?? ???? ?? ??? ??? ??? ?? ?? ?? ????,Gender,Offensive,Offensive,Offensive
?? ????? ??? ????? ?? ??? ???? ???? ????? ???????? ???? ???? ??,Gender,Offensive,Violence,Violence
???? ???? ???? ????????,Gender,Offensive,Offensive,Offensive
?? ?? ????? ?????? ??? ?????,Gender,Offensive,Sexual Harassments,Offensive
???? ???? ????? ???? ??? ???? ??? ??? ???????? ??????,Gender,Offensive,Violence,Violence
????????? ???????? ?????? ????? ??? ??????? ?????? ?????? ??????????,Gender,Offensive,Violence,Violence
???????? ????????? ????? ??????? ???????? ?????? ?????? ???????,Gender,Offensive,Violence,Offensive
??????? ?????? ?????? ????? ????? ??? ?????????,Gender,Violence,Violence,Violence
???????? ?????? ?? ???? ???? ????? ?????? ?? ?? ?? ????? ?? ??????? ?????,Gender,Sexual Harassments,Sexual Harassments,Offensive
??? ???????? ??????? ???? ??? ??? ??? ??????? ??? ?????,Gender,Offensive,Harmful,Offensive
??? ????? ??? ??????,Gender,Offensive,Offensive,Offensive
???? ??? ???? ?????? ???? ???? ???? ???? ? ????,Gender,Offensive,Violence,Violence
???? ????? ?????,Gender,Offensive,Offensive,Offensive
???? ???? ?? ????? ?? ?? ??????? ?????? ????,Gender,Offensive,Offensive,Offensive
???? ???? ???? ???? ???? ???? ???? ?????? ?????? ??? ??? ?? ??,Gender,Offensive,Offensive,Offensive
?????? ???? ????? ??? ????,Gender,Offensive,Offensive,Offensive
?????? ???? ?? ????? ?????,Gender,Offensive,Offensive,Offensive
???? ???? ?????,Gender,Sexual Harassments,Sexual Harassments,Offensive
??????? ????? ??? ?? ?? ??? ????,Gender,Offensive,Offensive,Offensive
???? ???? ???? ???? ??? ?????,Gender,Offensive,Violence,Violence
???? ???? ???? ????? ?????? ????,Gender,Offensive,Violence,Violence
?????? ???? ???? ??? ?????,Gender,Offensive,Violence,Violence
?????? ????? ??? ??? ???? ????? ??? ???? ?????? ???? ??????? ?????,Gender,Offensive,Violence,Violence
??????? ?????? ????? ????????? ?????? ????,Gender,Offensive,Offensive,Offensive
???? ?? ??????? ????? ??????? ??? ?????? ?????? ?? ?? ????????? ???? ??????,Gender,Offensive,Harmful,Not Hateful
????? ??? ????,Gender,Offensive,Sexual Harassments,Offensive
????? ???? ???? ????,Gender,Offensive,Offensive,Violence
???? ??? ??????,Gender,Offensive,Offensive,Offensive
???? ??? ????? ?? ???? ???? ??????? ??????? ????? ????,Gender,Offensive,Offensive,Offensive
??????? ??? ???? ???? ????,Gender,Offensive,Sexual Harassments,Violence
???? ???? ?????? ???? ???? ???? ???? ????? ???? ???? ???? ???? ?????? ?? ????,Gender,Offensive,Offensive,Offensive
????? ????? ?? ???????? ??? ? ????????? ????,Gender,Offensive,Not Hateful,Not Hateful
???? ???? ??? ??????,Gender,Violence,Violence,Violence
???? ???? ?????,Gender,Violence,Offensive,Offensive
???? ??? ???? ???? ?????? ????,Gender,Offensive,Violence,Violence
???? ??? ????? ??,Gender,Offensive,Violence,Violence
???? ???? ?????? ????,Gender,Offensive,Violence,Offensive
???????? ??? ????? ????????????,Gender,Violence,Violence,Violence
?????? ???? ???? ??????? ??? ???? ?????,Gender,Offensive,Offensive,Offensive
???? ??? ????? ???? ???,Gender,Offensive,Sexual Harassments,Offensive
???? ??? ?????? ?????? ????,Gender,Offensive,Offensive,Offensive
???? ???? ????? ??? ??? ?????? ????? ???? ????? ??? ???? ?? ??? ????? ???? ???????? ?? ????? ????,Gender,Offensive,Offensive,Offensive
????? ?? ??? ??? ?????? ???? ?? ??????? ???? ???????? ???? ?????,Gender,Offensive,Offensive,Offensive
??????? ???? ?????? ???,Gender,Offensive,Violence,Violence
?? ??????? ???? ??????? ?? ??? ?????? ??????? ????,Gender,Offensive,Offensive,Offensive
?? ?? ?? ???? ??? ????,Gender,Offensive,Offensive,Offensive
?? ????? ????,Gender,Offensive,Offensive,Offensive
?? ??? ???? ??????? ????,Gender,Offensive,Offensive,Violence
?? ???? ?????,Gender,Offensive,Not Hateful,Not Hateful
?? ???? ????? ??? ??,Gender,Offensive,Offensive,Offensive
?? ???? ????,Gender,Offensive,Offensive,Offensive
?? ???? ???? ?? ????,Gender,Offensive,Offensive,Offensive
?? ???? ???? ??? ? ???? ?? ????? ????,Gender,Offensive,Offensive,Offensive
?? ???? ???? ???? ???? ??? ?? ??? ?????? ????? ???? ?? ???? ????,Gender,Offensive,Sexual Harassments,Offensive
?? ???? ???? ??? ??? ?? ???,Gender,Offensive,Offensive,'Offensive'
?????? ?????,Gender,Offensive,Offensive,Offensive
??? ???? ?? ?????? ????,Gender,Offensive,Offensive,Offensive
??? ????? ?? ?????,Gender,Offensive,Offensive,Offensive
??? ????? ?????? ???? ????? ?????,Gender,Offensive,Not Hateful,Not Hateful
???? ??? ??? ??????? ???????? ?? ???,Gender,Offensive,Violence,Violence
????? ???? ???? ??????,Gender,Offensive,Offensive,Offensive
???????? ???????? ????,Gender,Offensive,Violence,Violence
??????-????????? ??? ???? ?????? ?? ??? ?? ??? ????? ?????? ?????????,Gender,Not Hateful,Not Hateful,Not Hateful
?????? ??????? ??????? ????? ?? ?????? ???????? ??????? ??? ??????? ??????? ???? ?? ??????? ???????? ?? ????? ????? ???????,Gender,Not Hateful,Not Hateful,Not Hateful
?????? ????? ????? ??? ??? ???????? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
??????? ??????? ??????? ??? ???? ????? ?????? ? ????? ????? ????? ?????? ? ???????? ?????? ??? ????? ???? ?? ???????? ???????? ??????,Gender,Not Hateful,Not Hateful,Not Hateful
?? ????? ??? ????? ? ???? ??? ????? ??????? ????? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
??????????? ??????? ???????? ?????? ??? ????? ???????? ??????? ????? ???????,Gender,Not Hateful,Not Hateful,Not Hateful
??????? ??????? ??? ???? ??????????? ????,Gender,Not Hateful,Not Hateful,Not Hateful
?????????? ??? ?????? ???? ???? ??? ?? ? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
?????? ???? ????? ??????? ????????? ??????,Gender,Not Hateful,Not Hateful,Not Hateful
???? ???? ??????? ???? ??? ????? ???? ??? ???? ???? ?????? ????? ???? ??????,Gender,Not Hateful,Not Hateful,Not Hateful
???? ???? ???? ??? ??????? ????????? ???????? ??????????? ?????? ?????? ???? ????????? ???? ??? ???????,Gender,Not Hateful,Not Hateful,Not Hateful
????? ??????? ????????? ? ????? ???????? ?????? ???? ?????? ???? ?????? ???? ‘???? ????? ??????’?,Gender,Not Hateful,Not Hateful,Not Hateful
????? ???? ?????? ????? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
????? ??????? ???? ??? ???? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
???? ??? ? ???? ??????? ???? ??????? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
???? ????? ??????? ????? ???? ???,Gender,Not Hateful,Not Hateful,Not Hateful
"???? ??? ????? ???? ???? ?????? ??,????? ??!",Gender,Not Hateful,Not Hateful,Not Hateful
??? ?????????? ???-? ???? ?????? ??? ???? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
????? ????? ???? ?????? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
??????? ????? ???? ???? ???????,Gender,Not Hateful,Not Hateful,Not Hateful
???? ???? ?????? ????????,Gender,Not Hateful,Not Hateful,Not Hateful
???? ??? ???? ???? ???? ???? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
????? ??? ???? ????? ???? ?????????,Gender,Not Hateful,Not Hateful,Not Hateful
??? ????? ???? ??? ??????? ???? ???? ??? ?? ??? ?????? ????? ????,Gender,Not Hateful,Not Hateful,Not Hateful
??? ??????? ?????? ???? ????? ?????? ??? ???,Gender,Not Hateful,Not Hateful,Not Hateful
?????? ??????? ?????? ?? ???? ???? ??????? ?? ?????? ??? ????? ???? ???? ????? ??????? ????,Gender,Not Hateful,Not Hateful,Not Hateful
????? ???? ???? ???? ???? ????,Gender,Not Hateful,Not Hateful,Not Hateful
????? ????? ???? ???? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
??? ??? ???? ????? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
??????? ??? ???,Gender,Not Hateful,Not Hateful,Not Hateful
??? ???????? ??????? ????? ?? ???? ??????? ??? ???,Gender,Not Hateful,Not Hateful,Not Hateful
????? ???? ???????,Gender,Not Hateful,Not Hateful,Not Hateful
????? ?????? ???? ??????? ????...????? ????? ????,Gender,Not Hateful,Not Hateful,Not Hateful
?????? ????? ???? ??? ?????? ... ??????? ????,Gender,Not Hateful,Not Hateful,Not Hateful
??? ????? ???? ???? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
???? ?? ??? ???? ????? ????????,Gender,Not Hateful,Not Hateful,Not Hateful
?????? ?????? ?????????? ????? ???? ???? ?????? ?????? ???? ??????? ????? ????????,Gender,Not Hateful,Not Hateful,Not Hateful
?????? ???? ??????? ???? ????,Gender,Not Hateful,Not Hateful,Not Hateful
?????? ?? ??????? ?? ?????? ????????? ????? ????? ???? ?,Gender,Not Hateful,Not Hateful,Not Hateful
????? ?????? ???? ??????? ??? ?????? ???? ???? ????? ?????? ????,Gender,Not Hateful,Not Hateful,Not Hateful
"??? ???? ??? ??? ????? ??? ?? ???? ???? ???? ???? ??? ???? ???? ???? ???? ???? ??? ???? ????? ?????? ???? ????,?? ???? ???? ???? ??.",Gender,Not Hateful,Not Hateful,Not Hateful
???? ?????? ???? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
?????? ????? ?? ??????? ????,Gender,Not Hateful,Not Hateful,Not Hateful
???? ? ????? ????? ??????? ????? ???? ?,Gender,Not Hateful,Not Hateful,Not Hateful
??? ?? ???? ???? ????!,Gender,Not Hateful,Not Hateful,Not Hateful
??? ?????? ?? ????? ????? ?? ?? ????!,Gender,Not Hateful,Not Hateful,Not Hateful
??? ?? ?? ??? ???? ?????? ????,Gender,Not Hateful,Not Hateful,Not Hateful
???? ???? ?? ????????,Gender,Not Hateful,Not Hateful,Not Hateful
"???? ????? ??????? ????? ??? ????,",Gender,Not Hateful,Not Hateful,Not Hateful
???? ??????? ?? ??????,Gender,Not Hateful,Not Hateful,Not Hateful
???? ???? ??????? ???? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
???? ????? ?? ???????? ??? ???? ??????? ????,Gender,Not Hateful,Not Hateful,Not Hateful
???? ????? ????? ??????,Gender,Not Hateful,Not Hateful,Not Hateful
????? ???? ???? ?????? ????????,Gender,Not Hateful,Not Hateful,Not Hateful
???? ???? ??????? ?????? ????? ??? ???????? ??? ?????? ???? ????? ????? ????,Gender,Not Hateful,Not Hateful,Not Hateful
??????? ???? ????? ????? ????? ???,Gender,Not Hateful,Not Hateful,Not Hateful
????? ?? ?????? ??? ???? ?? ???? ????? ??? ???? ??,Gender,Not Hateful,Not Hateful,Not Hateful
"??????? ?????????, ??????? ????? ???",Gender,Not Hateful,Not Hateful,Not Hateful
??? ???? ????? ?? ???? ??? ????????? ?????? ?????? ???? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
????? ???? ??? ???,Gender,Not Hateful,Not Hateful,Not Hateful
??????? .. ???? ????? ..??,Gender,Not Hateful,Not Hateful,Not Hateful
"???? ??? ???? ????? ???, ???? ??? ????? ?????",Gender,Not Hateful,Not Hateful,Not Hateful
? ????? ???? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
????? ????,Gender,Not Hateful,Not Hateful,Not Hateful
?? ??? ??????????? ?????? ??????? ???? ???? ??????? ???? ????? ??? ????? ????,Gender,Not Hateful,Not Hateful,Not Hateful
"??? ????! ?? ????? ???? ????? ??????? ?????, ???? ??????",Gender,Not Hateful,Not Hateful,Not Hateful
????? ???? ??? ???,Gender,Not Hateful,Not Hateful,Not Hateful
???? ???? ??? ???????????? ??? ???? ????? ?? ???? ???? ???? ???? ?????? ???????? ? ???????? ?,Gender,Not Hateful,Not Hateful,Not Hateful
??????? ?????? ?????? ?????? ???????? ?? ????? ?????...,Gender,Not Hateful,Not Hateful,Not Hateful
?????????????? ???? ???? ???? ??? ?????? ?????? ???? ??????? ??????.,Gender,Not Hateful,Not Hateful,Not Hateful
"??????? ?????? ????? ?? ?????? ??  ????? ??????? ???? ???? ?????????? ????? ???????? ????? ?????? ?????? ? ????? ??????? ????, ? ????? ??????? ???? ???? ???? ???????  ???? ??? ???? ???? ???? ???? ???? ??????????",Gender,Not Hateful,Not Hateful,Not Hateful
??? ??? ???? ???? ??? ?????? ????? ???? ?? ?? ??? ?? ??? ????? ??? ????? ????? ????? ??? ??? ??? ????? ??? ???? ???? ???? ???? ??? ???? ???? ???????? ??? ?????? ??? ?? ??? ????? ??????? ???? ?? ????? ??? ?????  ? ??????? ??? ????,Gender,Not Hateful,Not Hateful,Not Hateful
????? ???? ?,Gender,Not Hateful,Not Hateful,Not Hateful
??? ?????? ??? ???? ??? ???????,Gender,Not Hateful,Not Hateful,Not Hateful
?? ??? ?? ???? ??? ??????? ?? ???? ? ????,Gender,Not Hateful,Not Hateful,Not Hateful
????????? ????? ?? ????,Gender,Not Hateful,Not Hateful,Not Hateful
??? ????? ???? ??????,Gender,Not Hateful,Not Hateful,Not Hateful
"????? ?????? ?? ?? ?? ??? ????, ???? ????? ??????? ??????   ",Gender,Not Hateful,Not Hateful,Not Hateful
"???????? ??????? ???? ????? ?????, ?? ??? ??? ?? ?????? ?????? ????? ???? ???????? ????? ???? ???? ??? ???? ????? ??????? ",Gender,Not Hateful,Not Hateful,Not Hateful
????????? ???? ?????? ???? ???? ?? ??? ???????? ???? ??? ????????? ??? ???? ???? ????? ???? ????? ?????? ??????? ???????,Gender,Not Hateful,Not Hateful,Not Hateful
??? ???? ??? ????,Gender,Not Hateful,Not Hateful,Not Hateful
??? ????? ?? ????? ?????? ???? ???? ?????? ????? ???? ?????? ???? ???? ???????? ????? ???????? ??? ???? ??????? ??? ????????? ????? ??? ?? ???? ???????? ????? ??? ???? ???? ??????? ??????? ????? ???? ???? ???? ???????? ? ???? ??? ????,Gender,Not Hateful,Not Hateful,Not Hateful
?????????? ???? ??????? ??? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
?????? ????? ???? ???? ???????? ???? ???? ??? ???,Gender,Not Hateful,Not Hateful,Not Hateful
??? ??????? ????? ??? ???? ??????? ??? ???,Gender,Not Hateful,Not Hateful,Not Hateful
??????? ???? ???? ??? ????? ?? ????? ??????? ?????? ????? ???? ???????? ? ??????? ????? ???? ???? ????????? ?? ???????,Gender,Not Hateful,Offensive,Offensive
??? ????? ???? ?????? ??????? ???? ???? ???? ????????,Gender,Not Hateful,Not Hateful,Not Hateful
??????? ???,Gender,Not Hateful,Not Hateful,Not Hateful
"??? ????? ??????? ????????? ???? ???? ?? ????? ??? ??? ?? ?? ?????,???? ?????? ???? ????,????? ?? ???? ??????? ??? ??????",Gender,Not Hateful,Not Hateful,Not Hateful
"??????????????? ?????? ????, ??????? ???????? ? ???????? ???? ",Gender,Not Hateful,Not Hateful,Not Hateful
??????? ??? ????? ?????? ????,Gender,Not Hateful,Not Hateful,Offensive
"???????,,???? ?? ????????? ???? ??????????? ????? ???????? ??????? ?????? ???? ????? ????",Gender,Not Hateful,Not Hateful,Not Hateful
"??????? ??? ???????? ???? ?????? ????, ?????? ????? ???? ???????? ??? ?????,, ?? ?? ?????? ???????? ??? ??,  ?????? ? ???",Gender,Not Hateful,Not Hateful,Not Hateful
"???, ???? ???????? ??? ???? ?????? ?????? ???? ???? ???????? ??? ????? ????? ????? ??, ?? ?? ?????",Gender,Not Hateful,Not Hateful,Not Hateful
"????? ????? ??? ???? ???, ???? ????? ??? ???? ????? ??? ????? ?????? ????? ??? ?????? ?????? ????",Gender,Not Hateful,Not Hateful,Not Hateful
?.????? ????? ???? ? ????? ?? ????? ?????? ????? ?? ????????? ????? ???? ?? ?????? ???? ????? ???? ??????? ???? ?????????? ?????,Gender,Not Hateful,Offensive,Offensive
"??? ????? ???? ???? ???, ???? ?????????? ?? ????? ?????, ???? ?????? ???? ???? ????",Gender,Not Hateful,Not Hateful,Not Hateful
??? ?? ????? ?,Gender,Not Hateful,Not Hateful,Not Hateful
??? ?? ?????? ?????,Gender,Not Hateful,Not Hateful,Not Hateful
???? ??? ????? ????????? ???? ????? ????,Gender,Not Hateful,Not Hateful,Not Hateful
?????? ????????? ??????? ???? ???????? ???????,Gender,Not Hateful,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
,,,Not Hateful,Not Hateful
